2024/08/03 04:26:11 PM > ep 1 done. total_steps=13 | reward=13.0 | episode_steps=13 | hours=0.002 | epsilon=0.999
2024/08/03 04:26:11 PM > ep 2 done. total_steps=32 | reward=19.0 | episode_steps=19 | hours=0.002 | epsilon=0.999
2024/08/03 04:26:12 PM > ep 3 done. total_steps=44 | reward=12.0 | episode_steps=12 | hours=0.002 | epsilon=0.998
2024/08/03 04:26:12 PM > ep 4 done. total_steps=54 | reward=10.0 | episode_steps=10 | hours=0.002 | epsilon=0.998
2024/08/03 04:26:12 PM > ep 5 done. total_steps=69 | reward=15.0 | episode_steps=15 | hours=0.002 | epsilon=0.997
2024/08/03 04:26:12 PM > ep 6 done. total_steps=85 | reward=16.0 | episode_steps=16 | hours=0.002 | epsilon=0.996
2024/08/03 04:26:13 PM > ep 7 done. total_steps=104 | reward=19.0 | episode_steps=19 | hours=0.002 | epsilon=0.995
2024/08/03 04:26:13 PM > ep 8 done. total_steps=114 | reward=10.0 | episode_steps=10 | hours=0.002 | epsilon=0.995
2024/08/03 04:26:13 PM > ep 9 done. total_steps=136 | reward=22.0 | episode_steps=22 | hours=0.002 | epsilon=0.994
2024/08/03 04:26:13 PM > ep 10 done. total_steps=152 | reward=16.0 | episode_steps=16 | hours=0.002 | epsilon=0.993
2024/08/03 04:26:14 PM > ep 11 done. total_steps=164 | reward=12.0 | episode_steps=12 | hours=0.002 | epsilon=0.993
2024/08/03 04:26:14 PM > ep 12 done. total_steps=177 | reward=13.0 | episode_steps=13 | hours=0.003 | epsilon=0.992
2024/08/03 04:26:14 PM > ep 13 done. total_steps=201 | reward=24.0 | episode_steps=24 | hours=0.003 | epsilon=0.991
2024/08/03 04:26:15 PM > ep 14 done. total_steps=234 | reward=33.0 | episode_steps=33 | hours=0.003 | epsilon=0.990
2024/08/03 04:26:15 PM > ep 15 done. total_steps=254 | reward=20.0 | episode_steps=20 | hours=0.003 | epsilon=0.989
2024/08/03 04:26:15 PM > ep 16 done. total_steps=281 | reward=27.0 | episode_steps=27 | hours=0.003 | epsilon=0.987
2024/08/03 04:26:16 PM > ep 17 done. total_steps=305 | reward=24.0 | episode_steps=24 | hours=0.003 | epsilon=0.986
2024/08/03 04:26:16 PM > ep 18 done. total_steps=347 | reward=42.0 | episode_steps=42 | hours=0.003 | epsilon=0.985
2024/08/03 04:26:17 PM > ep 19 done. total_steps=384 | reward=37.0 | episode_steps=37 | hours=0.003 | epsilon=0.983
2024/08/03 04:26:17 PM > ep 20 done. total_steps=397 | reward=13.0 | episode_steps=13 | hours=0.003 | epsilon=0.982
2024/08/03 04:26:17 PM > ep 21 done. total_steps=409 | reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.982
2024/08/03 04:26:17 PM > ep 22 done. total_steps=419 | reward=10.0 | episode_steps=10 | hours=0.003 | epsilon=0.981
2024/08/03 04:26:17 PM > ep 23 done. total_steps=431 | reward=12.0 | episode_steps=12 | hours=0.003 | epsilon=0.981
2024/08/03 04:26:17 PM > ep 24 done. total_steps=447 | reward=16.0 | episode_steps=16 | hours=0.004 | epsilon=0.980
2024/08/03 04:26:18 PM > ep 25 done. total_steps=482 | reward=35.0 | episode_steps=35 | hours=0.004 | epsilon=0.979
2024/08/03 04:26:19 PM > ep 26 done. total_steps=524 | reward=42.0 | episode_steps=42 | hours=0.004 | epsilon=0.977
2024/08/03 04:26:19 PM > ep 27 done. total_steps=554 | reward=30.0 | episode_steps=30 | hours=0.004 | epsilon=0.975
2024/08/03 04:26:19 PM > ep 28 done. total_steps=563 | reward=9.0 | episode_steps=9 | hours=0.004 | epsilon=0.975
2024/08/03 04:26:19 PM > ep 29 done. total_steps=573 | reward=10.0 | episode_steps=10 | hours=0.004 | epsilon=0.975
2024/08/03 04:26:19 PM > ep 30 done. total_steps=588 | reward=15.0 | episode_steps=15 | hours=0.004 | epsilon=0.974
2024/08/03 04:26:20 PM > ep 31 done. total_steps=608 | reward=20.0 | episode_steps=20 | hours=0.004 | epsilon=0.973
2024/08/03 04:26:20 PM > ep 32 done. total_steps=651 | reward=43.0 | episode_steps=43 | hours=0.004 | epsilon=0.971
2024/08/03 04:26:20 PM > ep 33 done. total_steps=665 | reward=14.0 | episode_steps=14 | hours=0.004 | epsilon=0.971
2024/08/03 04:26:21 PM > ep 34 done. total_steps=705 | reward=40.0 | episode_steps=40 | hours=0.005 | epsilon=0.969
2024/08/03 04:26:21 PM > ep 35 done. total_steps=718 | reward=13.0 | episode_steps=13 | hours=0.005 | epsilon=0.968
2024/08/03 04:26:21 PM > ep 36 done. total_steps=729 | reward=11.0 | episode_steps=11 | hours=0.005 | epsilon=0.968
2024/08/03 04:26:22 PM > ep 37 done. total_steps=749 | reward=20.0 | episode_steps=20 | hours=0.005 | epsilon=0.967
2024/08/03 04:26:22 PM > ep 38 done. total_steps=758 | reward=9.0 | episode_steps=9 | hours=0.005 | epsilon=0.967
2024/08/03 04:26:22 PM > ep 39 done. total_steps=768 | reward=10.0 | episode_steps=10 | hours=0.005 | epsilon=0.966
2024/08/03 04:26:22 PM > ep 40 done. total_steps=779 | reward=11.0 | episode_steps=11 | hours=0.005 | epsilon=0.966
2024/08/03 04:26:22 PM > ep 41 done. total_steps=804 | reward=25.0 | episode_steps=25 | hours=0.005 | epsilon=0.965
2024/08/03 04:26:22 PM > ep 42 done. total_steps=815 | reward=11.0 | episode_steps=11 | hours=0.005 | epsilon=0.964
2024/08/03 04:26:23 PM > ep 43 done. total_steps=826 | reward=11.0 | episode_steps=11 | hours=0.005 | epsilon=0.964
2024/08/03 04:26:23 PM > ep 44 done. total_steps=837 | reward=11.0 | episode_steps=11 | hours=0.005 | epsilon=0.963
2024/08/03 04:26:23 PM > ep 45 done. total_steps=854 | reward=17.0 | episode_steps=17 | hours=0.005 | epsilon=0.962
2024/08/03 04:26:24 PM > ep 46 done. total_steps=887 | reward=33.0 | episode_steps=33 | hours=0.005 | epsilon=0.961
2024/08/03 04:26:24 PM > ep 47 done. total_steps=907 | reward=20.0 | episode_steps=20 | hours=0.005 | epsilon=0.960
2024/08/03 04:26:24 PM > ep 48 done. total_steps=919 | reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.960
2024/08/03 04:26:24 PM > ep 49 done. total_steps=931 | reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.959
2024/08/03 04:26:24 PM > ep 50 done. total_steps=944 | reward=13.0 | episode_steps=13 | hours=0.005 | epsilon=0.959
2024/08/03 04:26:25 PM > ep 51 done. total_steps=956 | reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.958
2024/08/03 04:26:25 PM > ep 52 done. total_steps=968 | reward=12.0 | episode_steps=12 | hours=0.006 | epsilon=0.958
2024/08/03 04:26:25 PM > ep 53 done. total_steps=988 | reward=20.0 | episode_steps=20 | hours=0.006 | epsilon=0.957
2024/08/03 04:26:25 PM > ep 54 done. total_steps=1007 | reward=19.0 | episode_steps=19 | hours=0.006 | epsilon=0.956
2024/08/03 04:26:25 PM > ep 55 done. total_steps=1019 | reward=12.0 | episode_steps=12 | hours=0.006 | epsilon=0.955
2024/08/03 04:26:26 PM > ep 56 done. total_steps=1057 | reward=38.0 | episode_steps=38 | hours=0.006 | epsilon=0.954
2024/08/03 04:26:26 PM > ep 57 done. total_steps=1070 | reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.953
2024/08/03 04:26:27 PM > ep 58 done. total_steps=1119 | reward=49.0 | episode_steps=49 | hours=0.006 | epsilon=0.951
2024/08/03 04:26:27 PM > ep 59 done. total_steps=1136 | reward=17.0 | episode_steps=17 | hours=0.006 | epsilon=0.950
2024/08/03 04:26:27 PM > ep 60 done. total_steps=1148 | reward=12.0 | episode_steps=12 | hours=0.006 | epsilon=0.950
2024/08/03 04:26:27 PM > ep 61 done. total_steps=1174 | reward=26.0 | episode_steps=26 | hours=0.006 | epsilon=0.949
2024/08/03 04:26:28 PM > ep 62 done. total_steps=1187 | reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.948
2024/08/03 04:26:28 PM > ep 63 done. total_steps=1198 | reward=11.0 | episode_steps=11 | hours=0.006 | epsilon=0.948
2024/08/03 04:26:28 PM > ep 64 done. total_steps=1207 | reward=9.0 | episode_steps=9 | hours=0.006 | epsilon=0.947
2024/08/03 04:26:28 PM > ep 65 done. total_steps=1219 | reward=12.0 | episode_steps=12 | hours=0.006 | epsilon=0.947
2024/08/03 04:26:28 PM > ep 66 done. total_steps=1232 | reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.946
2024/08/03 04:26:28 PM > ep 67 done. total_steps=1243 | reward=11.0 | episode_steps=11 | hours=0.007 | epsilon=0.946
2024/08/03 04:26:29 PM > ep 68 done. total_steps=1256 | reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.945
2024/08/03 04:26:29 PM > ep 69 done. total_steps=1269 | reward=13.0 | episode_steps=13 | hours=0.007 | epsilon=0.945
2024/08/03 04:26:29 PM > ep 70 done. total_steps=1281 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.944
2024/08/03 04:26:29 PM > ep 71 done. total_steps=1295 | reward=14.0 | episode_steps=14 | hours=0.007 | epsilon=0.944
2024/08/03 04:26:29 PM > ep 72 done. total_steps=1307 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.943
2024/08/03 04:26:29 PM > ep 73 done. total_steps=1316 | reward=9.0 | episode_steps=9 | hours=0.007 | epsilon=0.943
2024/08/03 04:26:30 PM > ep 74 done. total_steps=1328 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.942
2024/08/03 04:26:30 PM > ep 75 done. total_steps=1350 | reward=22.0 | episode_steps=22 | hours=0.007 | epsilon=0.941
2024/08/03 04:26:30 PM > ep 76 done. total_steps=1361 | reward=11.0 | episode_steps=11 | hours=0.007 | epsilon=0.941
2024/08/03 04:26:30 PM > ep 77 done. total_steps=1371 | reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.940
2024/08/03 04:26:30 PM > ep 78 done. total_steps=1380 | reward=9.0 | episode_steps=9 | hours=0.007 | epsilon=0.940
2024/08/03 04:26:31 PM > ep 79 done. total_steps=1394 | reward=14.0 | episode_steps=14 | hours=0.007 | epsilon=0.939
2024/08/03 04:26:31 PM > ep 80 done. total_steps=1403 | reward=9.0 | episode_steps=9 | hours=0.007 | epsilon=0.939
2024/08/03 04:26:31 PM > ep 81 done. total_steps=1415 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.939
2024/08/03 04:26:31 PM > ep 82 done. total_steps=1424 | reward=9.0 | episode_steps=9 | hours=0.007 | epsilon=0.938
2024/08/03 04:26:31 PM > ep 83 done. total_steps=1434 | reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.938
2024/08/03 04:26:31 PM > ep 84 done. total_steps=1446 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.937
2024/08/03 04:26:31 PM > ep 85 done. total_steps=1455 | reward=9.0 | episode_steps=9 | hours=0.007 | epsilon=0.937
2024/08/03 04:26:32 PM > ep 86 done. total_steps=1467 | reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.936
2024/08/03 04:26:32 PM > ep 87 done. total_steps=1476 | reward=9.0 | episode_steps=9 | hours=0.008 | epsilon=0.936
2024/08/03 04:26:32 PM > ep 88 done. total_steps=1488 | reward=12.0 | episode_steps=12 | hours=0.008 | epsilon=0.936
2024/08/03 04:26:32 PM > ep 89 done. total_steps=1500 | reward=12.0 | episode_steps=12 | hours=0.008 | epsilon=0.935
2024/08/03 04:26:32 PM > ep 90 done. total_steps=1510 | reward=10.0 | episode_steps=10 | hours=0.008 | epsilon=0.935
2024/08/03 04:26:33 PM > ep 91 done. total_steps=1527 | reward=17.0 | episode_steps=17 | hours=0.008 | epsilon=0.934
2024/08/03 04:26:33 PM > ep 92 done. total_steps=1536 | reward=9.0 | episode_steps=9 | hours=0.008 | epsilon=0.934
2024/08/03 04:26:33 PM > ep 93 done. total_steps=1545 | reward=9.0 | episode_steps=9 | hours=0.008 | epsilon=0.933
2024/08/03 04:26:33 PM > ep 94 done. total_steps=1561 | reward=16.0 | episode_steps=16 | hours=0.008 | epsilon=0.932
2024/08/03 04:26:33 PM > ep 95 done. total_steps=1570 | reward=9.0 | episode_steps=9 | hours=0.008 | epsilon=0.932
2024/08/03 04:26:33 PM > ep 96 done. total_steps=1585 | reward=15.0 | episode_steps=15 | hours=0.008 | epsilon=0.931
2024/08/03 04:26:34 PM > ep 97 done. total_steps=1594 | reward=9.0 | episode_steps=9 | hours=0.008 | epsilon=0.931
2024/08/03 04:26:34 PM > ep 98 done. total_steps=1604 | reward=10.0 | episode_steps=10 | hours=0.008 | epsilon=0.931
2024/08/03 04:26:34 PM > ep 99 done. total_steps=1614 | reward=10.0 | episode_steps=10 | hours=0.008 | epsilon=0.930
2024/08/03 04:26:34 PM > ep 100 done. total_steps=1625 | reward=11.0 | episode_steps=11 | hours=0.008 | epsilon=0.930
2024/08/03 04:26:34 PM > ep 101 done. total_steps=1636 | reward=11.0 | episode_steps=11 | hours=0.008 | epsilon=0.929
2024/08/03 04:26:34 PM > ep 102 done. total_steps=1646 | reward=10.0 | episode_steps=10 | hours=0.008 | epsilon=0.929
2024/08/03 04:26:34 PM > ep 103 done. total_steps=1660 | reward=14.0 | episode_steps=14 | hours=0.008 | epsilon=0.928
2024/08/03 04:26:35 PM > ep 104 done. total_steps=1675 | reward=15.0 | episode_steps=15 | hours=0.008 | epsilon=0.928
2024/08/03 04:26:35 PM > ep 105 done. total_steps=1717 | reward=42.0 | episode_steps=42 | hours=0.008 | epsilon=0.926
2024/08/03 04:26:35 PM > ep 106 done. total_steps=1734 | reward=17.0 | episode_steps=17 | hours=0.009 | epsilon=0.925
2024/08/03 04:26:36 PM > ep 107 done. total_steps=1767 | reward=33.0 | episode_steps=33 | hours=0.009 | epsilon=0.924
2024/08/03 04:26:36 PM > ep 108 done. total_steps=1779 | reward=12.0 | episode_steps=12 | hours=0.009 | epsilon=0.923
2024/08/03 04:26:36 PM > ep 109 done. total_steps=1802 | reward=23.0 | episode_steps=23 | hours=0.009 | epsilon=0.922
2024/08/03 04:26:37 PM > ep 110 done. total_steps=1826 | reward=24.0 | episode_steps=24 | hours=0.009 | epsilon=0.922
2024/08/03 04:26:37 PM > ep 111 done. total_steps=1857 | reward=31.0 | episode_steps=31 | hours=0.009 | epsilon=0.920
2024/08/03 04:26:37 PM > ep 112 done. total_steps=1869 | reward=12.0 | episode_steps=12 | hours=0.009 | epsilon=0.920
2024/08/03 04:26:38 PM > ep 113 done. total_steps=1900 | reward=31.0 | episode_steps=31 | hours=0.009 | epsilon=0.918
2024/08/03 04:26:38 PM > ep 114 done. total_steps=1913 | reward=13.0 | episode_steps=13 | hours=0.009 | epsilon=0.918
2024/08/03 04:26:38 PM > ep 115 done. total_steps=1938 | reward=25.0 | episode_steps=25 | hours=0.009 | epsilon=0.917
2024/08/03 04:26:38 PM > ep 116 done. total_steps=1953 | reward=15.0 | episode_steps=15 | hours=0.009 | epsilon=0.916
2024/08/03 04:26:39 PM > ep 117 done. total_steps=1968 | reward=15.0 | episode_steps=15 | hours=0.009 | epsilon=0.916
2024/08/03 04:26:39 PM > ep 118 done. total_steps=1991 | reward=23.0 | episode_steps=23 | hours=0.009 | epsilon=0.915
2024/08/03 04:26:39 PM > ep 119 done. total_steps=2014 | reward=23.0 | episode_steps=23 | hours=0.010 | epsilon=0.914
2024/08/03 04:26:40 PM > ep 120 done. total_steps=2037 | reward=23.0 | episode_steps=23 | hours=0.010 | epsilon=0.913
2024/08/03 04:26:40 PM > ep 121 done. total_steps=2067 | reward=30.0 | episode_steps=30 | hours=0.010 | epsilon=0.912
2024/08/03 04:26:40 PM > ep 122 done. total_steps=2082 | reward=15.0 | episode_steps=15 | hours=0.010 | epsilon=0.911
2024/08/03 04:26:40 PM > ep 123 done. total_steps=2095 | reward=13.0 | episode_steps=13 | hours=0.010 | epsilon=0.911
2024/08/03 04:26:41 PM > ep 124 done. total_steps=2107 | reward=12.0 | episode_steps=12 | hours=0.010 | epsilon=0.910
2024/08/03 04:26:41 PM > ep 125 done. total_steps=2131 | reward=24.0 | episode_steps=24 | hours=0.010 | epsilon=0.909
2024/08/03 04:26:41 PM > ep 126 done. total_steps=2162 | reward=31.0 | episode_steps=31 | hours=0.010 | epsilon=0.908
2024/08/03 04:26:42 PM > ep 127 done. total_steps=2186 | reward=24.0 | episode_steps=24 | hours=0.010 | epsilon=0.907
2024/08/03 04:26:42 PM > ep 128 done. total_steps=2206 | reward=20.0 | episode_steps=20 | hours=0.010 | epsilon=0.906
2024/08/03 04:26:42 PM > ep 129 done. total_steps=2224 | reward=18.0 | episode_steps=18 | hours=0.010 | epsilon=0.905
2024/08/03 04:26:43 PM > ep 130 done. total_steps=2255 | reward=31.0 | episode_steps=31 | hours=0.010 | epsilon=0.904
2024/08/03 04:26:43 PM > ep 131 done. total_steps=2301 | reward=46.0 | episode_steps=46 | hours=0.011 | epsilon=0.902
2024/08/03 04:26:43 PM > ep 132 done. total_steps=2323 | reward=22.0 | episode_steps=22 | hours=0.011 | epsilon=0.901
2024/08/03 04:26:44 PM > ep 133 done. total_steps=2354 | reward=31.0 | episode_steps=31 | hours=0.011 | epsilon=0.900
2024/08/03 04:26:44 PM > ep 134 done. total_steps=2384 | reward=30.0 | episode_steps=30 | hours=0.011 | epsilon=0.899
2024/08/03 04:26:45 PM > ep 135 done. total_steps=2420 | reward=36.0 | episode_steps=36 | hours=0.011 | epsilon=0.897
2024/08/03 04:26:45 PM > ep 136 done. total_steps=2434 | reward=14.0 | episode_steps=14 | hours=0.011 | epsilon=0.897
2024/08/03 04:26:45 PM > ep 137 done. total_steps=2448 | reward=14.0 | episode_steps=14 | hours=0.011 | epsilon=0.896
2024/08/03 04:26:45 PM > ep 138 done. total_steps=2465 | reward=17.0 | episode_steps=17 | hours=0.011 | epsilon=0.896
2024/08/03 04:26:46 PM > ep 139 done. total_steps=2476 | reward=11.0 | episode_steps=11 | hours=0.011 | epsilon=0.895
2024/08/03 04:26:46 PM > ep 140 done. total_steps=2496 | reward=20.0 | episode_steps=20 | hours=0.011 | epsilon=0.894
2024/08/03 04:26:46 PM > ep 141 done. total_steps=2517 | reward=21.0 | episode_steps=21 | hours=0.011 | epsilon=0.894
2024/08/03 04:26:46 PM > ep 142 done. total_steps=2533 | reward=16.0 | episode_steps=16 | hours=0.012 | epsilon=0.893
2024/08/03 04:26:47 PM > ep 143 done. total_steps=2586 | reward=53.0 | episode_steps=53 | hours=0.012 | epsilon=0.891
2024/08/03 04:26:48 PM > ep 144 done. total_steps=2632 | reward=46.0 | episode_steps=46 | hours=0.012 | epsilon=0.889
2024/08/03 04:26:48 PM > ep 145 done. total_steps=2652 | reward=20.0 | episode_steps=20 | hours=0.012 | epsilon=0.888
2024/08/03 04:26:48 PM > ep 146 done. total_steps=2697 | reward=45.0 | episode_steps=45 | hours=0.012 | epsilon=0.887
2024/08/03 04:26:49 PM > ep 147 done. total_steps=2723 | reward=26.0 | episode_steps=26 | hours=0.012 | epsilon=0.885
2024/08/03 04:26:50 PM > ep 148 done. total_steps=2792 | reward=69.0 | episode_steps=69 | hours=0.012 | epsilon=0.883
2024/08/03 04:26:50 PM > ep 149 done. total_steps=2806 | reward=14.0 | episode_steps=14 | hours=0.013 | epsilon=0.882
2024/08/03 04:26:50 PM > ep 150 done. total_steps=2837 | reward=31.0 | episode_steps=31 | hours=0.013 | epsilon=0.881
2024/08/03 04:26:51 PM > ep 151 done. total_steps=2878 | reward=41.0 | episode_steps=41 | hours=0.013 | epsilon=0.879
2024/08/03 04:26:51 PM > ep 152 done. total_steps=2902 | reward=24.0 | episode_steps=24 | hours=0.013 | epsilon=0.878
2024/08/03 04:26:51 PM > ep 153 done. total_steps=2918 | reward=16.0 | episode_steps=16 | hours=0.013 | epsilon=0.878
2024/08/03 04:26:52 PM > ep 154 done. total_steps=2976 | reward=58.0 | episode_steps=58 | hours=0.013 | epsilon=0.876
2024/08/03 04:26:52 PM > ep 155 done. total_steps=2997 | reward=21.0 | episode_steps=21 | hours=0.013 | epsilon=0.875
2024/08/03 04:26:53 PM > ep 156 done. total_steps=3008 | reward=11.0 | episode_steps=11 | hours=0.013 | epsilon=0.874
2024/08/03 04:26:53 PM > ep 157 done. total_steps=3019 | reward=11.0 | episode_steps=11 | hours=0.013 | epsilon=0.874
2024/08/03 04:26:54 PM > ep 158 done. total_steps=3110 | reward=91.0 | episode_steps=91 | hours=0.014 | epsilon=0.870
2024/08/03 04:26:55 PM > ep 159 done. total_steps=3158 | reward=48.0 | episode_steps=48 | hours=0.014 | epsilon=0.869
2024/08/03 04:26:55 PM > ep 160 done. total_steps=3190 | reward=32.0 | episode_steps=32 | hours=0.014 | epsilon=0.867
2024/08/03 04:26:56 PM > ep 161 done. total_steps=3232 | reward=42.0 | episode_steps=42 | hours=0.014 | epsilon=0.866
2024/08/03 04:26:56 PM > ep 162 done. total_steps=3244 | reward=12.0 | episode_steps=12 | hours=0.014 | epsilon=0.865
2024/08/03 04:26:56 PM > ep 163 done. total_steps=3280 | reward=36.0 | episode_steps=36 | hours=0.014 | epsilon=0.864
2024/08/03 04:26:56 PM > ep 164 done. total_steps=3293 | reward=13.0 | episode_steps=13 | hours=0.014 | epsilon=0.863
2024/08/03 04:26:57 PM > ep 165 done. total_steps=3326 | reward=33.0 | episode_steps=33 | hours=0.014 | epsilon=0.862
2024/08/03 04:26:58 PM > ep 166 done. total_steps=3378 | reward=52.0 | episode_steps=52 | hours=0.015 | epsilon=0.860
2024/08/03 04:26:58 PM > ep 167 done. total_steps=3392 | reward=14.0 | episode_steps=14 | hours=0.015 | epsilon=0.860
2024/08/03 04:26:58 PM > ep 168 done. total_steps=3423 | reward=31.0 | episode_steps=31 | hours=0.015 | epsilon=0.858
2024/08/03 04:26:58 PM > ep 169 done. total_steps=3439 | reward=16.0 | episode_steps=16 | hours=0.015 | epsilon=0.858
2024/08/03 04:26:59 PM > ep 170 done. total_steps=3481 | reward=42.0 | episode_steps=42 | hours=0.015 | epsilon=0.856
2024/08/03 04:26:59 PM > ep 171 done. total_steps=3503 | reward=22.0 | episode_steps=22 | hours=0.015 | epsilon=0.855
2024/08/03 04:27:00 PM > ep 172 done. total_steps=3554 | reward=51.0 | episode_steps=51 | hours=0.015 | epsilon=0.854
2024/08/03 04:27:01 PM > ep 173 done. total_steps=3626 | reward=72.0 | episode_steps=72 | hours=0.016 | epsilon=0.851
2024/08/03 04:27:01 PM > ep 174 done. total_steps=3643 | reward=17.0 | episode_steps=17 | hours=0.016 | epsilon=0.850
2024/08/03 04:27:01 PM > ep 175 done. total_steps=3656 | reward=13.0 | episode_steps=13 | hours=0.016 | epsilon=0.850
2024/08/03 04:27:02 PM > ep 176 done. total_steps=3688 | reward=32.0 | episode_steps=32 | hours=0.016 | epsilon=0.848
2024/08/03 04:27:03 PM > ep 177 done. total_steps=3739 | reward=51.0 | episode_steps=51 | hours=0.016 | epsilon=0.847
2024/08/03 04:27:03 PM > ep 178 done. total_steps=3755 | reward=16.0 | episode_steps=16 | hours=0.016 | epsilon=0.846
2024/08/03 04:27:03 PM > ep 179 done. total_steps=3782 | reward=27.0 | episode_steps=27 | hours=0.016 | epsilon=0.845
2024/08/03 04:27:03 PM > ep 180 done. total_steps=3806 | reward=24.0 | episode_steps=24 | hours=0.016 | epsilon=0.844
2024/08/03 04:27:04 PM > ep 181 done. total_steps=3821 | reward=15.0 | episode_steps=15 | hours=0.016 | epsilon=0.844
2024/08/03 04:27:04 PM > ep 182 done. total_steps=3852 | reward=31.0 | episode_steps=31 | hours=0.016 | epsilon=0.842
