2024/08/26 01:54:55 PM > ep 1 done. total_steps=44 | reward=-56 | episode_steps=44 | hours=0.001 | epsilon=0.998
2024/08/26 01:54:56 PM > ep 2 done. total_steps=127 | reward=-17 | episode_steps=83 | hours=0.001 | epsilon=0.994
2024/08/26 01:54:57 PM > ep 3 done. total_steps=148 | reward=-79 | episode_steps=21 | hours=0.002 | epsilon=0.993
2024/08/26 01:54:57 PM > ep 4 done. total_steps=170 | reward=-78 | episode_steps=22 | hours=0.002 | epsilon=0.992
2024/08/26 01:54:58 PM > ep 5 done. total_steps=190 | reward=-80 | episode_steps=20 | hours=0.002 | epsilon=0.992
2024/08/26 01:54:59 PM > ep 6 done. total_steps=230 | reward=-60 | episode_steps=40 | hours=0.002 | epsilon=0.990
2024/08/26 01:54:59 PM > ep 7 done. total_steps=255 | reward=-75 | episode_steps=25 | hours=0.002 | epsilon=0.989
2024/08/26 01:55:00 PM > ep 8 done. total_steps=299 | reward=-56 | episode_steps=44 | hours=0.003 | epsilon=0.987
2024/08/26 01:55:01 PM > ep 9 done. total_steps=336 | reward=-63 | episode_steps=37 | hours=0.003 | epsilon=0.985
2024/08/26 01:55:02 PM > ep 10 done. total_steps=371 | reward=-65 | episode_steps=35 | hours=0.003 | epsilon=0.984
2024/08/26 01:55:23 PM > ep 1 done. total_steps=42 | reward=-58 | episode_steps=42 | hours=0.000 | epsilon=0.998
2024/08/26 01:55:24 PM > ep 2 done. total_steps=111 | reward=-31 | episode_steps=69 | hours=0.001 | epsilon=0.995
2024/08/26 01:55:25 PM > ep 3 done. total_steps=149 | reward=-62 | episode_steps=38 | hours=0.001 | epsilon=0.993
2024/08/26 01:55:25 PM > ep 4 done. total_steps=170 | reward=-79 | episode_steps=21 | hours=0.001 | epsilon=0.992
2024/08/26 01:55:26 PM > ep 5 done. total_steps=207 | reward=-63 | episode_steps=37 | hours=0.001 | epsilon=0.991
2024/08/26 01:55:28 PM > ep 6 done. total_steps=291 | reward=-16 | episode_steps=84 | hours=0.002 | epsilon=0.987
2024/08/26 01:55:29 PM > ep 7 done. total_steps=348 | reward=-43 | episode_steps=57 | hours=0.002 | epsilon=0.985
2024/08/26 01:55:31 PM > ep 8 done. total_steps=439 | reward=-9 | episode_steps=91 | hours=0.003 | epsilon=0.981
2024/08/26 01:55:33 PM > ep 9 done. total_steps=541 | reward=2 | episode_steps=102 | hours=0.003 | epsilon=0.976
2024/08/26 01:55:35 PM > ep 10 done. total_steps=650 | reward=9 | episode_steps=109 | hours=0.004 | epsilon=0.971
2024/08/26 01:55:37 PM > ep 11 done. total_steps=750 | reward=0 | episode_steps=100 | hours=0.004 | epsilon=0.967
2024/08/26 01:56:20 PM > ep 1 done. total_steps=45 | reward=-55 | episode_steps=45 | hours=0.000 | epsilon=0.998
2024/08/26 01:56:21 PM > ep 2 done. total_steps=94 | reward=-51 | episode_steps=49 | hours=0.000 | epsilon=0.996
