2024/08/24 04:23:44 PM > ep 1 done. total_steps=42 | reward=-59 | episode_steps=42 | hours=0.000 | epsilon=0.998
2024/08/24 04:23:44 PM > ep 2 done. total_steps=97 | reward=-46 | episode_steps=55 | hours=0.000 | epsilon=0.996
2024/08/24 04:23:45 PM > ep 3 done. total_steps=139 | reward=-59 | episode_steps=42 | hours=0.000 | epsilon=0.994
2024/08/24 04:23:45 PM > ep 4 done. total_steps=180 | reward=-60 | episode_steps=41 | hours=0.000 | epsilon=0.992
2024/08/24 04:23:46 PM > ep 5 done. total_steps=242 | reward=-39 | episode_steps=62 | hours=0.001 | epsilon=0.989
2024/08/24 04:23:46 PM > ep 6 done. total_steps=293 | reward=-50 | episode_steps=51 | hours=0.001 | epsilon=0.987
2024/08/24 04:23:47 PM > ep 7 done. total_steps=352 | reward=-42 | episode_steps=59 | hours=0.001 | epsilon=0.984
2024/08/24 04:23:47 PM > ep 8 done. total_steps=442 | reward=-11 | episode_steps=90 | hours=0.001 | epsilon=0.980
2024/08/24 04:23:48 PM > ep 9 done. total_steps=498 | reward=-45 | episode_steps=56 | hours=0.001 | epsilon=0.978
2024/08/24 04:23:48 PM > ep 10 done. total_steps=530 | reward=-69 | episode_steps=32 | hours=0.001 | epsilon=0.977
2024/08/24 04:23:49 PM > ep 11 done. total_steps=590 | reward=-41 | episode_steps=60 | hours=0.001 | epsilon=0.974
2024/08/24 04:23:49 PM > ep 12 done. total_steps=636 | reward=-55 | episode_steps=46 | hours=0.002 | epsilon=0.972
2024/08/24 04:23:50 PM > ep 13 done. total_steps=698 | reward=-39 | episode_steps=62 | hours=0.002 | epsilon=0.969
2024/08/24 04:23:50 PM > ep 14 done. total_steps=769 | reward=-30 | episode_steps=71 | hours=0.002 | epsilon=0.966
2024/08/24 04:23:51 PM > ep 15 done. total_steps=810 | reward=-60 | episode_steps=41 | hours=0.002 | epsilon=0.964
2024/08/24 04:23:51 PM > ep 16 done. total_steps=839 | reward=-72 | episode_steps=29 | hours=0.002 | epsilon=0.963
2024/08/24 04:23:51 PM > ep 17 done. total_steps=889 | reward=-51 | episode_steps=50 | hours=0.002 | epsilon=0.961
2024/08/24 04:23:52 PM > ep 18 done. total_steps=920 | reward=-70 | episode_steps=31 | hours=0.002 | epsilon=0.960
2024/08/24 04:23:52 PM > ep 19 done. total_steps=1011 | reward=-10 | episode_steps=91 | hours=0.002 | epsilon=0.956
2024/08/24 04:23:53 PM > ep 20 done. total_steps=1085 | reward=-27 | episode_steps=74 | hours=0.003 | epsilon=0.953
