#{"t_start": 1722437127.1534574, "env_id": "SimpleTetris-v0"}
r,l,t
-39.0,62,1.445884
-44.0,57,1.589772
-28.0,73,1.842932
-62.0,39,1.960658
-58.0,43,2.143753
-28.0,73,2.459883
-33.0,68,2.710127
-38.0,63,2.943579
-45.0,56,3.116719
-52.0,49,3.350615
-31.0,70,3.529526
-46.0,55,3.6968
-42.0,59,3.941751
-45.0,56,4.145043
-39.0,62,4.365899
-54.0,47,4.495596
-70.0,31,4.597052
-56.0,45,4.758959
-72.0,29,4.830551
-66.0,35,4.933609
-73.0,28,5.048088
-41.0,60,5.230955
-67.0,34,5.35096
-44.0,57,5.527772
-53.0,48,5.645969
-56.0,45,5.845833
-27.0,74,6.145892
-68.0,33,6.250661
-46.0,55,6.446643
-34.0,67,6.700454
-18.0,83,7.053656
-47.0,54,7.234592
-55.0,46,7.380558
-34.0,67,7.690591
-55.0,46,7.817731
-30.0,71,8.093999
-66.0,35,8.239904
-23.0,78,8.570241
-44.0,57,8.819781
-18.0,83,9.114957
-8.0,93,9.432638
10.0,111,9.811044
-59.0,42,9.948095
-53.0,48,10.121556
-4.0,97,10.419312
-35.0,66,10.648665
-39.0,62,10.831764
-36.0,65,11.016031
-54.0,47,11.18419
-54.0,47,11.331164
-17.0,84,11.617285
-10.0,91,11.95605
-51.0,50,12.103461
-35.0,66,12.368237
-55.0,46,12.504076
-31.0,70,12.751409
-22.0,79,13.107632
-7.0,94,13.406885
-41.0,60,13.604904
-20.0,81,13.886276
-22.0,79,14.138744
-32.0,69,14.38682
-18.0,83,14.703797
-37.0,64,14.923933
-52.0,49,15.057381
-33.0,68,15.287483
-25.0,76,15.520696
34.0,135,15.951707
-25.0,76,16.205478
6.0,107,16.538302
7.0,108,16.910746
-31.0,70,17.110424
-26.0,75,17.358507
-45.0,56,17.572827
-28.0,73,17.789085
26.0,127,18.22242
4.0,105,18.606782
-11.0,90,18.926025
11.0,112,19.290318
29.0,130,19.790965
-45.0,56,19.95518
-84.0,17,20.010616
-43.0,58,20.205355
-13.0,88,20.506486
-72.0,29,20.590683
-29.0,72,20.862177
-8.0,93,21.207798
-32.0,69,21.471059
-38.0,63,21.69236
-39.0,62,21.892984
-61.0,40,22.027008
-4.0,97,22.373802
2.0,103,22.765972
-39.0,62,22.983245
2.0,103,23.296164
-19.0,82,23.562065
6.0,107,23.981856
-7.0,94,24.297392
9.0,110,24.659133
-13.0,88,24.944936
-31.0,70,25.218279
2.0,103,25.578888
12.0,113,26.037471
15.0,116,26.420782
-5.0,96,26.762938
-23.0,78,27.03018
-29.0,72,27.280445
7.0,108,27.664253
5.0,106,28.031013
31.0,132,28.454992
-23.0,78,28.750606
-23.0,78,29.064279
-30.0,71,29.264629
-21.0,80,29.521383
-22.0,79,29.816823
13.0,114,30.213672
5.0,106,30.550109
-4.0,97,30.931063
11.0,112,31.305002
23.0,124,31.684504
-22.0,79,31.97023
-12.0,89,32.286145
-19.0,82,32.603942
-40.0,61,32.816705
-20.0,81,33.090792
-1.0,100,33.447048
24.0,125,33.906857
14.0,115,34.323775
-7.0,94,34.6028
59.0,160,35.186699
4.0,105,35.602138
47.0,148,36.062751
24.0,125,36.489473
-18.0,83,36.73573
-16.0,85,37.021973
10.0,111,37.472218
23.0,124,37.886595
-3.0,98,38.188311
-2.0,99,38.506468
-16.0,85,38.806655
20.0,121,39.191242
25.0,126,39.595543
-14.0,87,39.865115
6.0,107,40.190861
12.0,113,40.59155
10.0,111,41.043683
4.0,105,41.430071
14.0,115,41.831042
-4.0,97,42.197508
-5.0,96,42.509003
-21.0,80,42.773921
-2.0,99,43.14412
22.0,123,43.610527
74.0,175,44.21682
20.0,121,44.675687
9.0,110,45.051632
16.0,117,45.446582
28.0,129,45.83437
14.0,115,46.251415
55.0,156,46.850062
17.0,118,47.234127
58.0,159,47.830294
71.0,172,48.480177
70.0,171,49.069498
20.0,121,49.549741
23.0,124,49.953468
12.0,113,50.316922
55.0,156,50.850154
-1.0,100,51.22372
17.0,118,51.637814
-5.0,96,51.95524
22.0,123,52.368825
44.0,145,52.933575
22.0,123,53.371626
104.0,205,54.074615
36.0,137,54.553208
30.0,131,55.003464
33.0,134,55.469923
6.0,107,55.847188
-8.0,93,56.192533
1.0,102,56.541486
37.0,138,57.019387
72.0,173,57.68985
65.0,166,58.255984
55.0,156,58.793449
-23.0,78,59.025767
28.0,129,59.541193
32.0,133,60.011355
31.0,132,60.428864
86.0,187,61.142601
73.0,174,61.739769
31.0,132,62.175857
74.0,175,62.78077
-23.0,78,63.03059
73.0,174,63.61133
38.0,139,64.109325
48.0,149,64.662118
34.0,135,65.095245
72.0,173,65.719408
67.0,168,66.283068
6.0,107,66.628701
48.0,149,67.097096
71.0,172,67.664271
58.0,159,68.228491
14.0,115,68.625258
27.0,128,69.072098
91.0,192,69.765369
15.0,116,70.163643
57.0,158,70.699756
30.0,131,71.136859
31.0,132,71.567313
43.0,144,72.134362
34.0,135,72.549751
44.0,145,73.075701
14.0,115,73.492714
4.0,105,73.890669
37.0,138,74.375756
-8.0,93,74.673902
63.0,164,75.236541
98.0,199,75.909191
12.0,113,76.304239
-29.0,72,76.562323
69.0,170,77.1381
-4.0,97,77.457618
13.0,114,77.872334
60.0,161,78.377016
23.0,124,78.766811
20.0,121,79.189966
23.0,124,79.57875
63.0,164,80.165675
-1.0,100,80.507223
22.0,123,80.92851
10.0,111,81.393625
3.0,104,81.75944
39.0,140,82.192712
68.0,169,82.852227
24.0,125,83.280798
16.0,117,83.714514
51.0,152,84.24789
41.0,142,84.697259
70.0,171,85.328891
99.0,200,86.062862
36.0,137,86.516634
43.0,144,87.034182
34.0,135,87.4809
60.0,161,88.051901
76.0,177,88.750628
50.0,151,89.219018
-28.0,73,89.503531
44.0,145,90.020955
53.0,154,90.547883
7.0,108,90.920197
46.0,147,91.436947
61.0,162,91.986254
36.0,137,92.488397
57.0,158,92.999093
23.0,124,93.452905
21.0,122,93.907023
33.0,134,94.385649
63.0,164,95.006377
91.0,192,95.738035
23.0,124,96.15717
-3.0,98,96.521483
-22.0,79,96.872531
32.0,133,97.308306
40.0,141,97.856128
13.0,114,98.239353
-14.0,87,98.539563
47.0,148,99.057011
35.0,136,99.544136
31.0,132,100.03981
-49.0,52,100.205999
95.0,196,100.908451
-7.0,94,101.213283
77.0,178,101.8407
25.0,126,102.24323
60.0,161,102.765022
40.0,141,103.225954
34.0,135,103.811576
-19.0,82,104.11094
38.0,139,104.672213
2.0,103,105.013081
-4.0,97,105.378567
-3.0,98,105.803302
56.0,157,106.415318
25.0,126,106.874695
18.0,119,107.301291
18.0,119,107.715055
-24.0,77,107.980718
44.0,145,108.482673
32.0,133,108.893628
32.0,133,109.265513
27.0,128,109.644961
20.0,121,110.051675
63.0,164,110.785291
101.0,202,111.564244
25.0,126,111.920246
48.0,149,112.440157
79.0,180,112.952959
34.0,135,113.47015
58.0,159,113.952298
43.0,144,114.385608
73.0,174,114.88707
78.0,179,115.468594
17.0,118,115.843943
24.0,125,116.209552
5.0,106,116.537704
4.0,105,116.870885
2.0,103,117.17789
40.0,141,117.643639
-10.0,91,117.932575
8.0,109,118.28932
33.0,134,118.701844
37.0,138,119.099581
2.0,103,119.457756
8.0,109,119.774801
89.0,190,120.295086
70.0,171,120.824794
30.0,131,121.214525
5.0,106,121.509766
72.0,173,122.009778
32.0,133,122.395662
-4.0,97,122.683803
112.0,213,123.323049
110.0,211,124.097578
11.0,112,124.414935
91.0,192,124.982598
28.0,129,125.361646
34.0,135,125.858729
30.0,131,126.256796
39.0,140,126.700592
32.0,133,127.065402
37.0,138,127.51418
24.0,125,127.884964
29.0,130,128.267763
68.0,169,128.7603
18.0,119,129.142913
88.0,189,129.763297
75.0,176,130.320979
5.0,106,130.649415
-11.0,90,130.883531
47.0,148,131.33739
20.0,121,131.704976
55.0,156,132.173326
54.0,155,132.651232
7.0,108,133.036907
23.0,124,133.386055
55.0,156,133.855768
9.0,110,134.173563
0.0,101,134.453429
-1.0,100,134.736355
47.0,148,135.192133
57.0,158,135.698213
40.0,141,136.091539
94.0,195,136.69561
83.0,184,137.270003
-10.0,91,137.526099
44.0,145,137.997243
60.0,161,138.516269
101.0,202,139.106325
76.0,177,139.687613
6.0,107,140.010691
9.0,110,140.325722
